%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
0.4,SURESH YADAV,INDORE,3,BSP,M,MADHYA PRADESH,3262,834579,825794,1478108,56.46
0.12,SHAIKH MASARUDDIN,INDORE,4,RJD,M,MADHYA PRADESH,984,834579,825794,1478108,56.46
0.12,VIJAYKUMAR JAIN ( PATWA ),INDORE,5,IND,M,MADHYA PRADESH,965,834579,825794,1478108,56.46
0.11,TEJENDRA SINGH BHATIYA,INDORE,6,IND,M,MADHYA PRADESH,907,834579,825794,1478108,56.46
0.09,DILIPKUMAR KHANDELWAL,INDORE,7,IND,M,MADHYA PRADESH,759,834579,825794,1478108,56.46
0.06,MANOHAR LAL ARORA,INDORE,8,ABHM,M,MADHYA PRADESH,530,834579,825794,1478108,56.46
0.06,UMA AGRAWAL,INDORE,9,IND,F,MADHYA PRADESH,469,834579,825794,1478108,56.46
0.04,RAJ KUMAR SUNHERE,INDORE,10,IND,M,MADHYA PRADESH,297,834579,825794,1478108,56.46
0.03,LALCHAND MADANLAL,INDORE,11,IND,M,MADHYA PRADESH,228,834579,825794,1478108,56.46
0.03,MADANLAL KUMANYU,INDORE,12,IND,M,MADHYA PRADESH,217,834579,825794,1478108,56.46
0.02,GHANSHYAM CHANDEL,INDORE,13,IND,M,MADHYA PRADESH,157,834579,825794,1478108,56.46
54.22,DR. SATYANARAYAN JATIYA,UJJAIN (SC),1,BJP,M,MADHYA PRADESH,360103,673742,664097,1107836,60.82
43.98,TULASIRAM SILAWAT,UJJAIN (SC),2,INC,M,MADHYA PRADESH,292065,673742,664097,1107836,60.82
0.98,BABOOLAL THAWALIYA,UJJAIN (SC),3,BSP,M,MADHYA PRADESH,6528,673742,664097,1107836,60.82
0.36,SITARAM PARMAR,UJJAIN (SC),4,JD(S),M,MADHYA PRADESH,2375,673742,664097,1107836,60.82
0.22,OMPRAKASH AKHAND,UJJAIN (SC),5,AJBP,M,MADHYA PRADESH,1437,673742,664097,1107836,60.82
0.13,RAMESHCHANDRA,UJJAIN (SC),6,IND,M,MADHYA PRADESH,834,673742,664097,1107836,60.82
0.07,HUKUMCHAND,UJJAIN (SC),7,IND,M,MADHYA PRADESH,497,673742,664097,1107836,60.82
0.04,MADANLAL RAMLAL,UJJAIN (SC),8,IND,M,MADHYA PRADESH,258,673742,664097,1107836,60.82
61.93,KANTILAL BHURIYA,JHABUA (ST),1,INC,M,MADHYA PRADESH,371842,620445,600380,1112482,55.77
37.05,DILIPSINGH BHURIYA,JHABUA (ST),2,BJP,M,MADHYA PRADESH,222465,620445,600380,1112482,55.77
1.01,KAILASH BHABAR,JHABUA (ST),3,AJBP,M,MADHYA PRADESH,6073,620445,600380,1112482,55.77
53.12,DR. LAKSHAMINARAYAN PANDEY,MANDSAUR,1,BJP,M,MADHYA PRADESH,395928,754129,745366,1243364,60.65
45.67,RAJENDRA SINGH GAUTAM,MANDSAUR,2,INC,M,MADHYA PRADESH,340443,754129,745366,1243364,60.65
0.37,RAJENDRA SINGH,MANDSAUR,3,IND,M,MADHYA PRADESH,2732,754129,745366,1243364,60.65
0.29,BANO BEE,MANDSAUR,4,BMSM,F,MADHYA PRADESH,2151,754129,745366,1243364,60.65
0.19,NARENDRA KUNDANLAL SHARMA,MANDSAUR,5,AJBP,M,MADHYA PRADESH,1428,754129,745366,1243364,60.65
0.19,GHULAM AHMAD CHOUDHARY,MANDSAUR,6,IND,M,MADHYA PRADESH,1403,754129,745366,1243364,60.65
0.17,PRAKASHCHANDRA AMRITRAM SUNARTHI,MANDSAUR,7,IND,M,MADHYA PRADESH,1281,754129,745366,1243364,60.65
51.07,SURESH PRABHAKAR PRABHU,RAJAPUR,1,SHS,M,MAHARASHTRA,221523,456224,433752,790537,57.71
25.05,PROF MADHU DANDAVATE,RAJAPUR,2,JD(S),M,MAHARASHTRA,108673,456224,433752,790537,57.71
23.87,MAJOR SUDHIR SAWANT,RAJAPUR,3,INC,M,MAHARASHTRA,103556,456224,433752,790537,57.71
54.99,ANANT GANGARAM GEETE,RATNAGIRI,1,SHS,M,MAHARASHTRA,293834,558229,534353,872359,63.99
33.4,ZIMAN SUJIT BHAGOJI,RATNAGIRI,2,NCP,M,MAHARASHTRA,178491,558229,534353,872359,63.99
11.61,RAJARAM SHINDE,RATNAGIRI,3,INC,M,MAHARASHTRA,62028,558229,534353,872359,63.99
41.55,RAMSHETH THAKUR,KOLABA,1,PWPI,M,MAHARASHTRA,274361,710896,660244,1156456,61.47
35.03,D B PATIL,KOLABA,2,SHS,M,MAHARASHTRA,231264,710896,660244,1156456,61.47
22.44,SABLE PUSHPA TUKARAM,KOLABA,3,INC,F,MAHARASHTRA,148146,710896,660244,1156456,61.47
0.98,PURANIK BALLAL GOVIND,KOLABA,4,IND,M,MAHARASHTRA,6473,710896,660244,1156456,61.47
47.84,JAYAWANTI MEHTA,MUMBAI SOUTH,1,BJP,F,MAHARASHTRA,144945,303022,302999,719281,42.13
44.46,MURLI DEORA,MUMBAI SOUTH,2,INC,M,MAHARASHTRA,134702,303022,302999,719281,42.13
6.31,AZIZ LALANI,MUMBAI SOUTH,3,SP,M,MAHARASHTRA,19128,303022,302999,719281,42.13
0.81,VYAS RAMESH BAJRANGPAL,MUMBAI SOUTH,4,IND,M,MAHARASHTRA,2441,303022,302999,719281,42.13
0.59,QURESHI MOHOMED RAIS,MUMBAI SOUTH,5,IND,M,MAHARASHTRA,1783,303022,302999,719281,42.13
47.97,MOHAN VISHNU RAWALE,MUMBAI SOUTH CENTRAL,1,SHS,M,MAHARASHTRA,176323,369130,367605,812576,45.43
26.47,A MAJEED MEMON ADVOCATE,MUMBAI SOUTH CENTRAL,2,SP,M,MAHARASHTRA,97287,369130,367605,812576,45.43
21.15,DADA SAMANT,MUMBAI SOUTH CENTRAL,3,BBM,M,MAHARASHTRA,77747,369130,367605,812576,45.43
4.42,GAIKWAD P K,MUMBAI SOUTH CENTRAL,4,IND,M,MAHARASHTRA,16248,369130,367605,812576,45.43
55.83,MANOHAR GAJANAN JOSHI,MUMBAI NORTH CENTRAL,1,SHS,M,MAHARASHTRA,294935,528342,528291,1148316,46.01
23.84,RAJA DHALE,MUMBAI NORTH CENTRAL,2,BBM,M,MAHARASHTRA,125940,528342,528291,1148316,46.01
10.73,ADVOCATE B C KAMBLE,MUMBAI NORTH CENTRAL,3,IND,M,MAHARASHTRA,56684,528342,528291,1148316,46.01
3.3,SHAIKH MOHAMMAD FARUQUE,MUMBAI NORTH CENTRAL,4,IUML,M,MAHARASHTRA,17454,528342,528291,1148316,46.01
2.0,PANDE SURESHCHANDRA,MUMBAI NORTH CENTRAL,5,IND,M,MAHARASHTRA,10549,528342,528291,1148316,46.01
1.57,SHARMA JAIKISHAN PANDUMAL,MUMBAI NORTH CENTRAL,6,RJD,M,MAHARASHTRA,8290,528342,528291,1148316,46.01
1.53,ASHOK JOSHI,MUMBAI NORTH CENTRAL,7,IND,M,MAHARASHTRA,8068,528342,528291,1148316,46.01
1.21,KESHAV DATTATRAY PENDSE,MUMBAI NORTH CENTRAL,8,IND,M,MAHARASHTRA,6371,528342,528291,1148316,46.01
43.08,KIRIT SOMAIYA,MUMBAI NORTH EAST,1,BJP,M,MAHARASHTRA,400436,929549,929417,1990340,46.7
42.3,ADV KAMAT GURUDAS,MUMBAI NORTH EAST,2,INC,M,MAHARASHTRA,393160,929549,929417,1990340,46.7
11.03,DR RAMMANOHAR TRIPATHI,MUMBAI NORTH EAST,3,NCP,M,MAHARASHTRA,102513,929549,929417,1990340,46.7
1.44,DATTATRAY BHOJARAJ WAGHMARE,MUMBAI NORTH EAST,4,IND,M,MAHARASHTRA,13406,929549,929417,1990340,46.7
0.91,SAYYAD SHAMIM JAFFRY,MUMBAI NORTH EAST,5,BSP,M,MAHARASHTRA,8501,929549,929417,1990340,46.7
0.73,SHALIWAHAN DINANATH GAIKWAD,MUMBAI NORTH EAST,6,ABMSD,M,MAHARASHTRA,6761,929549,929417,1990340,46.7
0.5,SHAIKH MOHAMAD SHAHABAN ABDUL KARIM,MUMBAI NORTH EAST,7,NMP,M,MAHARASHTRA,4640,929549,929417,1990340,46.7
52.35,SUNIL DUTT,MUMBAI NORTH WEST,1,INC,M,MAHARASHTRA,366669,713586,700414,1553015,45.95
40.14,MADHUKAR SIRPOTDAR,MUMBAI NORTH WEST,2,SHS,M,MAHARASHTRA,281130,713586,700414,1553015,45.95
5.99,RAMESH DUBE,MUMBAI NORTH WEST,3,NCP,M,MAHARASHTRA,41947,713586,700414,1553015,45.95
0.59,MAQWANA ISMAIL MOHAMMED,MUMBAI NORTH WEST,4,IND,M,MAHARASHTRA,4146,713586,700414,1553015,45.95
0.48,GAUD RAJARAM MATADIN,MUMBAI NORTH WEST,5,BSP,M,MAHARASHTRA,3355,713586,700414,1553015,45.95
0.29,QURESHI SHAMIM RASHID,MUMBAI NORTH WEST,6,NMP,M,MAHARASHTRA,2004,713586,700414,1553015,45.95
0.17,SUSHILA GUNVANTLAL DALAL,MUMBAI NORTH WEST,7,GRC,F,MAHARASHTRA,1163,713586,700414,1553015,45.95
56.39,RAM NAIK,MUMBAI NORTH,1,BJP,M,MAHARASHTRA,517941,954260,918529,2222240,42.94
39.61,CHANDRAKANT GOSALIA,MUMBAI NORTH,2,INC,M,MAHARASHTRA,363805,954260,918529,2222240,42.94
2.74,DAMODAR JANARDAN TANDEL,MUMBAI NORTH,3,IND,M,MAHARASHTRA,25132,954260,918529,2222240,42.94
0.81,DABHADE DIPAK PANDURANG,MUMBAI NORTH,4,IND,M,MAHARASHTRA,7459,954260,918529,2222240,42.94
0.46,HUMANIST PARIMAL MERCHANT,MUMBAI NORTH,5,THPI,M,MAHARASHTRA,4192,954260,918529,2222240,42.94
43.22,PRAKASH PARANJPE,THANE,1,SHS,M,MAHARASHTRA,391446,934027,905683,2772750,33.69
32.21,NAKUL PATIL,THANE,2,INC,M,MAHARASHTRA,291763,934027,905683,2772750,33.69
19.57,PRABHAKAR HEGADE,THANE,3,NCP,M,MAHARASHTRA,177256,934027,905683,2772750,33.69
4.1,WADHAVINDE MAHENDRU KERU,THANE,4,IND,M,MAHARASHTRA,37145,934027,905683,2772750,33.69
0.89,DR MADHUKAR VITTHALRAO DEKATE,THANE,5,BSP,M,MAHARASHTRA,8073,934027,905683,2772750,33.69
36.5,ADV CHINTAMAN WANAGA,DAHANU (ST),1,BJP,M,MAHARASHTRA,240866,708881,659988,1434678,49.41
27.06,SHINGADA DAMODAR BARKU,DAHANU (ST),2,INC,M,MAHARASHTRA,178596,708881,659988,1434678,49.41
21.91,NAM SHANKAR SAKHARAM,DAHANU (ST),3,NCP,M,MAHARASHTRA,144589,708881,659988,1434678,49.41
13.55,OZARE RAJARAM NATHU,DAHANU (ST),4,CPM,M,MAHARASHTRA,89459,708881,659988,1434678,49.41
0.98,ZOLE DATTATRAYA KALU,DAHANU (ST),5,BSP,M,MAHARASHTRA,6478,708881,659988,1434678,49.41
41.59,DHIKALE UTTAMRAO NATHUJI,NASHIK,1,SHS,M,MAHARASHTRA,303084,778284,728772,1344755,57.88
36.54,PATIL MADHAV BALWANT,NASHIK,2,NCP,M,MAHARASHTRA,266272,778284,728772,1344755,57.88
20.36,GULAVE GOPALRAO RAVLAJI,NASHIK,3,INC,M,MAHARASHTRA,148346,778284,728772,1344755,57.88
1.13,BANDAVANE KARBHARI PANDURANG,NASHIK,4,ABHS,M,MAHARASHTRA,8249,778284,728772,1344755,57.88
0.39,SHIVAJI BABURAO SANGALE,NASHIK,5,IND,M,MAHARASHTRA,2821,778284,728772,1344755,57.88
29.32,MAHALE HARIBAHU SHANKAR,MALEGAON (ST),1,JD(S),M,MAHARASHTRA,191643,698630,653567,1083181,64.5
28.65,GANGURDE BABANRAO LAHANU,MALEGAON (ST),2,BJP,M,MAHARASHTRA,187251,698630,653567,1083181,64.5
27.53,KAHANDOLE ZAMRU MANGLU,MALEGAON (ST),3,INC,M,MAHARASHTRA,179941,698630,653567,1083181,64.5
10.58,GAVIT CHINTAMAN JANU,MALEGAON (ST),4,CPM,M,MAHARASHTRA,69142,698630,653567,1083181,64.5
1.97,SONAWANE PANDIT PANDURANG,MALEGAON (ST),5,IND,M,MAHARASHTRA,12890,698630,653567,1083181,64.5
1.94,GAJI ETEJAD KHAN MUKIM AHMAD KHAN,MALEGAON (ST),6,NMP,M,MAHARASHTRA,12700,698630,653567,1083181,64.5
36.14,RAMDAS RUPLA GAVIT,DHULE (ST),1,BJP,M,MAHARASHTRA,211904,626353,586271,1102845,56.79
33.93,CHAURE BAPU HARI,DHULE (ST),2,INC,M,MAHARASHTRA,198919,626353,586271,1102845,56.79
28.63,AHIRE D S AHIRE SAHEB,DHULE (ST),3,NCP,M,MAHARASHTRA,167834,626353,586271,1102845,56.79
0.76,BHIL GULAB DASHARATH,DHULE (ST),4,IND,M,MAHARASHTRA,4437,626353,586271,1102845,56.79
0.54,ADV MORE MADHAV BANDU,DHULE (ST),5,BSP,M,MAHARASHTRA,3177,626353,586271,1102845,56.79
47.44,GAVIT MANIKRAO HODLYA,NANDURBAR (ST),1,INC,M,MAHARASHTRA,318338,710789,671039,1079466,65.85
27.95,VASAVE GOVIND RAMU,NANDURBAR (ST),2,NCP,M,MAHARASHTRA,187567,710789,671039,1079466,65.85
22.58,KUWARSING FULJI VALVI,NANDURBAR (ST),3,BJP,M,MAHARASHTRA,151509,710789,671039,1079466,65.85
2.03,BHURIBAI MANSING SHEMLE,NANDURBAR (ST),4,CPM,F,MAHARASHTRA,13625,710789,671039,1079466,65.85
47.36,ANNASAHEB M K PATIL,ERANDOL,1,BJP,M,MAHARASHTRA,297867,679754,628895,1082958,62.77
30.75,MORE VASANTRAO JIVANRAO,ERANDOL,2,NCP,M,MAHARASHTRA,193411,679754,628895,1082958,62.77
21.13,PROF V G PATIL,ERANDOL,3,INC,M,MAHARASHTRA,132902,679754,628895,1082958,62.77
0.75,SK A HAKIM SK RAHEMAN,ERANDOL,4,IND,M,MAHARASHTRA,4715,679754,628895,1082958,62.77
47.62,Y G MAHAJAN SIR,JALGAON,1,BJP,M,MAHARASHTRA,334020,743542,701485,1101166,67.52
34.82,DR ULHAS VASUDEO PATIL,JALGAON,2,INC,M,MAHARASHTRA,244225,743542,701485,1101166,67.52
17.24,MAHAJAN JIVRAM TUKARAM,JALGAON,3,NCP,M,MAHARASHTRA,120951,743542,701485,1101166,67.52
0.33,SK SHAVIR SK MANGU,JALGAON,4,IND,M,MAHARASHTRA,2289,743542,701485,1101166,67.52
41.82,ADSUL ANANDRAO VITHOBA,BULDHANA (SC),1,SHS,M,MAHARASHTRA,294922,743613,705137,1039128,71.56
35.44,WASNIK MUKUL BALKRUSHNA,BULDHANA (SC),2,INC,M,MAHARASHTRA,249915,743613,705137,1039128,71.56
18.88,SARDAR SAHEBRAO ASHRUJI,BULDHANA (SC),3,NCP,M,MAHARASHTRA,133165,743613,705137,1039128,71.56
2.69,CHAVAN BALIRAM MOTIRAM,BULDHANA (SC),4,IND,M,MAHARASHTRA,18948,743613,705137,1039128,71.56
1.16,LAHANE VIJAY BANDU,BULDHANA (SC),5,IND,M,MAHARASHTRA,8187,743613,705137,1039128,71.56
40.53,AMBEDKAR PRAKASH YASHWANT,AKOLA,1,BBM,M,MAHARASHTRA,272243,698216,671649,1145140,60.97
39.24,FUNDKAR PANDURANG PUNDLIK,AKOLA,2,BJP,M,MAHARASHTRA,263527,698216,671649,1145140,60.97
18.41,KORPE DR SANTOSHKUMAR WAMANRAO,AKOLA,3,NCP,M,MAHARASHTRA,123640,698216,671649,1145140,60.97
1.34,MAULANA WARISUALLAKHAN,AKOLA,4,IND,M,MAHARASHTRA,9016,698216,671649,1145140,60.97
0.31,RAJNIKANT GITAILAXMAN PATIL,AKOLA,5,SPSP,M,MAHARASHTRA,2068,698216,671649,1145140,60.97
0.17,JOSHI SHALIGRAM MOHANLAL,AKOLA,6,IND,M,MAHARASHTRA,1155,698216,671649,1145140,60.97
38.29,BHAWANA PUNDLIKRAO GAWALI,WASHIM,1,SHS,F,MAHARASHTRA,244820,678010,639415,1004211,67.52
32.1,DESHMUKH ANANTRAO VITTHALRAO,WASHIM,2,INC,M,MAHARASHTRA,205225,678010,639415,1004211,67.52
24.09,PROF JAVED KHAN,WASHIM,3,NCP,M,MAHARASHTRA,154030,678010,639415,1004211,67.52
3.89,NAIK RAJU RAMU,WASHIM,4,IND,M,MAHARASHTRA,24859,678010,639415,1004211,67.52
1.07,KALAPAD RAMKRISHNA SAKHARAMJI,WASHIM,5,IND,M,MAHARASHTRA,6810,678010,639415,1004211,67.52
0.57,DEBAJE LEKHAK PRALHADRAO ASHRUJI,WASHIM,6,IND,M,MAHARASHTRA,3671,678010,639415,1004211,67.52
48.2,GUDHE ANANT MAHADEOAPPA,AMRAVATI,1,SHS,M,MAHARASHTRA,319916,698233,663733,1124886,62.07
37.1,R S GAVAI,AMRAVATI,2,RPI,M,MAHARASHTRA,246264,698233,663733,1124886,62.07
10.82,DR KALE MOHAN NATTHUJI,AMRAVATI,3,NCP,M,MAHARASHTRA,71801,698233,663733,1124886,62.07
1.2,DR VASANT GANPATRAO GURJAR,AMRAVATI,4,IND,M,MAHARASHTRA,7954,698233,663733,1124886,62.07
0.95,JAKIR ALI AHMAD SK AHMAD,AMRAVATI,5,IND,M,MAHARASHTRA,6278,698233,663733,1124886,62.07
0.86,DESHMUKH ASHOK PUNDLIKRAO,AMRAVATI,6,ABHS,M,MAHARASHTRA,5677,698233,663733,1124886,62.07
0.61,DR C K MANKIKAR,AMRAVATI,7,BSP,M,MAHARASHTRA,4040,698233,663733,1124886,62.07
0.27,GHODESWAR PRABHAKAR RAMBHAU,AMRAVATI,8,IND,M,MAHARASHTRA,1803,698233,663733,1124886,62.07
36.97,SUBODH MOHITE,RAMTEK,1,SHS,M,MAHARASHTRA,242454,689771,655822,1050833,65.64
35.19,PUROHIT BANWARI LAL,RAMTEK,2,INC,M,MAHARASHTRA,230765,689771,655822,1050833,65.64
22.83,HAJARE PANDURANG JAIRAMJI,RAMTEK,3,NCP,M,MAHARASHTRA,149741,689771,655822,1050833,65.64
2.55,INGLE ASHOK ALIAS ASHOK SARASWATI,RAMTEK,4,BSP,M,MAHARASHTRA,16706,689771,655822,1050833,65.64
2.46,RAJSHREE DEVI,RAMTEK,5,GGP,F,MAHARASHTRA,16156,689771,655822,1050833,65.64
52.38,VILAS MUTTEMWAR,NAGPUR,1,INC,M,MAHARASHTRA,424450,829946,810365,1551380,53.5
43.41,VINOD YASHWANTRAO GUDADHE (PATIL),NAGPUR,2,BJP,M,MAHARASHTRA,351755,829946,810365,1551380,53.5
1.95,PROF ASHOK GODGHATE,NAGPUR,3,IND,M,MAHARASHTRA,15817,829946,810365,1551380,53.5
1.78,PROF P S CHANGOLE,NAGPUR,4,BSP,M,MAHARASHTRA,14465,829946,810365,1551380,53.5
0.3,VAIDYA MANIKRAO DAYARAMJI,NAGPUR,5,IND,M,MAHARASHTRA,2438,829946,810365,1551380,53.5
0.18,PROF VIRSEN STEPHEN BARSE,NAGPUR,6,IND,M,MAHARASHTRA,1440,829946,810365,1551380,53.5
45.81,CHUNNILALBHAU THAKUR,BHANDARA,1,BJP,M,MAHARASHTRA,291355,663106,635954,938648,70.64
45.21,DR SHRIKANT JICHKAR,BHANDARA,2,INC,M,MAHARASHTRA,287536,663106,635954,938648,70.64
5.19,NIMBARATE JAGDISH KANHAJI,BHANDARA,3,NCP,M,MAHARASHTRA,33007,663106,635954,938648,70.64
1.75,DR HARISHCHAND BHIORAM SALAM,BHANDARA,4,GGP,M,MAHARASHTRA,11142,663106,635954,938648,70.64
1.74,DUDHAKUWAR ZITUJI RAGHUJI,BHANDARA,5,BSP,M,MAHARASHTRA,11051,663106,635954,938648,70.64
0.29,CHAVHAN ANIL MAROTI,BHANDARA,6,IND,M,MAHARASHTRA,1863,663106,635954,938648,70.64
40.54,DIWATHE NAMDEO HARBAJI,CHIMUR,1,BJP,M,MAHARASHTRA,300601,780721,741450,1013322,77.05
31.1,KAWADE JOGENDRA LAXMAN,CHIMUR,2,RPI,M,MAHARASHTRA,230561,780721,741450,1013322,77.05
19.87,PATEL PRAFULBHAI MANOHARBHAI,CHIMUR,3,NCP,M,MAHARASHTRA,147322,780721,741450,1013322,77.05
5.01,DR SHIWARKAR ANIL LAXMAN,CHIMUR,4,IND,M,MAHARASHTRA,37113,780721,741450,1013322,77.05
2.09,GAJABE SUDHAKAR MAROTRAO,CHIMUR,5,IND,M,MAHARASHTRA,15516,780721,741450,1013322,77.05
0.79,GADMADE SHRIRAM JAIRAM,CHIMUR,6,IND,M,MAHARASHTRA,5874,780721,741450,1013322,77.05
0.6,MOTGHARE SANJAY GOPAL,CHIMUR,7,BSP,M,MAHARASHTRA,4463,780721,741450,1013322,77.05
41.66,PUGLIA NARESHKUMAR CHUNNALAL,CHANDRAPUR,1,INC,M,MAHARASHTRA,328522,828220,788538,1224338,67.65
41.3,AHIR HANSRAJ GANGARAM,CHANDRAPUR,2,BJP,M,MAHARASHTRA,325685,828220,788538,1224338,67.65
11.07,POTDUKHE SHOBHA SUDHAKAR,CHANDRAPUR,3,NCP,F,MAHARASHTRA,87304,828220,788538,1224338,67.65
5.01,GANMUKULWAR VENKATESH RAMAYAJI,CHANDRAPUR,4,GGP,M,MAHARASHTRA,39467,828220,788538,1224338,67.65
0.96,DUMBERE MAHADEO PUNAJI,CHANDRAPUR,5,IND,M,MAHARASHTRA,7560,828220,788538,1224338,67.65
38.31,PRABHA RAO,WARDHA,1,INC,F,MAHARASHTRA,249564,682935,651394,1079969,63.24
37.23,SURESH GANPATRAO WAGHMARE,WARDHA,2,BJP,M,MAHARASHTRA,242502,682935,651394,1079969,63.24
23.47,DATTA MEGHE,WARDHA,3,NCP,M,MAHARASHTRA,152856,682935,651394,1079969,63.24
0.99,CHIDAM NARAYANRAO RAMJI,WARDHA,4,GGP,M,MAHARASHTRA,6472,682935,651394,1079969,63.24
42.01,UTTAMRAO DEORAO PATIL,YAVATMAL,1,INC,M,MAHARASHTRA,258535,648805,615388,1007605,64.39
39.54,HARIBHAU RATHOD,YAVATMAL,2,BJP,M,MAHARASHTRA,243309,648805,615388,1007605,64.39
12.67,RAJABHAU THAKRE,YAVATMAL,3,NCP,M,MAHARASHTRA,77968,648805,615388,1007605,64.39
3.1,KISHOREBHAU TIWARI,YAVATMAL,4,IND,M,MAHARASHTRA,19076,648805,615388,1007605,64.39
2.3,MARKAM SHEETAL KAVADOOJI,YAVATMAL,5,GGP,M,MAHARASHTRA,14181,648805,615388,1007605,64.39
0.38,LAXMANBHAU KINKAR,YAVATMAL,6,IND,M,MAHARASHTRA,2319,648805,615388,1007605,64.39
43.14,MANE SHIVAJI GYANBARAO,HINGOLI,1,SHS,M,MAHARASHTRA,297284,732626,689137,1033944,70.86
31.43,ADV POLE NAIK MADHAVRAO BAHENARAO,HINGOLI,2,BBM,M,MAHARASHTRA,216629,732626,689137,1033944,70.86
25.43,SURYAKANTA PATIL,HINGOLI,3,NCP,F,MAHARASHTRA,175224,732626,689137,1033944,70.86
44.69,KHATGAONKAR BHASKARRAO BAPURAO,NANDED,1,INC,M,MAHARASHTRA,327293,784001,732365,1191427,65.8
40.24,DR DHANAJIRAO VYANKATRAO DESHMUKH,NANDED,2,BJP,M,MAHARASHTRA,294718,784001,732365,1191427,65.8
9.73,GUNWANT PATIL HANGARGEKAR,NANDED,3,SBP,M,MAHARASHTRA,71279,784001,732365,1191427,65.8
2.41,GAIKWAD SOPAN NIVRATI,NANDED,4,ABHS,M,MAHARASHTRA,17637,784001,732365,1191427,65.8
1.12,AMARJITSINGH MAJOR PANJABSINGH GILL,NANDED,5,PWPI,M,MAHARASHTRA,8222,784001,732365,1191427,65.8
1.05,BHOSIKAR SURESH GOVINDRAO,NANDED,6,IND,M,MAHARASHTRA,7714,784001,732365,1191427,65.8
0.75,GHODAJKAR DHANAJI PANDURANG,NANDED,7,BSP,M,MAHARASHTRA,5502,784001,732365,1191427,65.8
38.39,JADHAV SURESH RAMRAO,PARBHANI,1,SHS,M,MAHARASHTRA,254019,705781,661632,1055193,66.89
31.79,JAMKAR RAOSAHEB BAPUSAHEB,PARBHANI,2,INC,M,MAHARASHTRA,210354,705781,661632,1055193,66.89
27.12,WARPUDKAR SURESH AMBADASRAO,PARBHANI,3,NCP,M,MAHARASHTRA,179443,705781,661632,1055193,66.89
1.08,GOVIND DHONDOPANT CHATORIKAR GURUJI,PARBHANI,4,IND,M,MAHARASHTRA,7140,705781,661632,1055193,66.89
0.57,NOORJAHAN BEGUM RAHEMANKHAN,PARBHANI,5,IND,F,MAHARASHTRA,3780,705781,661632,1055193,66.89
0.42,SURVASE RAMESHWAR NAGORAO,PARBHANI,6,IND,M,MAHARASHTRA,2779,705781,661632,1055193,66.89
0.36,MUMTAZ BEGUM MD YAHAKHAN,PARBHANI,7,IND,F,MAHARASHTRA,2405,705781,661632,1055193,66.89
0.26,VIJAY DASHRATH WAKODE,PARBHANI,8,IND,M,MAHARASHTRA,1712,705781,661632,1055193,66.89
45.79,DANVE RAOSAHEB DADARAO PATIL,JALNA,1,BJP,M,MAHARASHTRA,332620,801751,726464,1106131,72.48
28.73,BANGAR DNYANDEO GANPATRAO,JALNA,2,INC,M,MAHARASHTRA,208711,801751,726464,1106131,72.48
23.86,BORADE VIJAYANNA SAMPATRAO,JALNA,3,NCP,M,MAHARASHTRA,173337,801751,726464,1106131,72.48
1.03,GURAV KALYAN BHANUDAS,JALNA,4,IND,M,MAHARASHTRA,7504,801751,726464,1106131,72.48
0.59,JAIN KAILAS HARIKISAN,JALNA,5,IND,M,MAHARASHTRA,4292,801751,726464,1106131,72.48
44.85,CHANDRAKANT KHAIRE,AURANGABAD,1,SHS,M,MAHARASHTRA,383144,906465,854279,1372209,66.06
38.31,A R ANTULAY,AURANGABAD,2,INC,M,MAHARASHTRA,327255,906465,854279,1372209,66.06
15.78,BABURAO PAWAR,AURANGABAD,3,NCP,M,MAHARASHTRA,134831,906465,854279,1372209,66.06
0.53,HIVRALE BHIMRAO TRIMBAK,AURANGABAD,4,BSP,M,MAHARASHTRA,4506,906465,854279,1372209,66.06
0.28,PANDAGALE RATANKUMAR NARAYANRAO,AURANGABAD,5,IND,M,MAHARASHTRA,2420,906465,854279,1372209,66.06
0.25,VATSALABAI NAMDEO TAYADE,AURANGABAD,6,IND,F,MAHARASHTRA,2123,906465,854279,1372209,66.06
41.2,JAYSINGRAO GAIKWAD PATIL,BEED,1,BJP,M,MAHARASHTRA,332946,851591,808082,1175871,72.42
34.87,RADHAKRISHNA SAHEBRAO PATIL,BEED,2,NCP,M,MAHARASHTRA,281756,851591,808082,1175871,72.42
20.11,ASHOK PATIL,BEED,3,INC,M,MAHARASHTRA,162478,851591,808082,1175871,72.42
2.42,SK JALAL SK KHAIRODIN,BEED,4,IND,M,MAHARASHTRA,19565,851591,808082,1175871,72.42
1.26,CHAVAN NAMDEO FAKIRA,BEED,5,CPI,M,MAHARASHTRA,10210,851591,808082,1175871,72.42
0.14,SAVARE PRABHAKAR LAXMAN,BEED,6,IND,M,MAHARASHTRA,1127,851591,808082,1175871,72.42
41.72,PATIL SHIVRAJ VISHWANATH,LATUR,1,INC,M,MAHARASHTRA,314213,794945,753109,1097040,72.46
36.37,DR GOPALRAO VITTHLRAO PATIL,LATUR,2,BJP,M,MAHARASHTRA,273923,794945,753109,1097040,72.46
20.69,PASHA PATEL,LATUR,3,NCP,M,MAHARASHTRA,155816,794945,753109,1097040,72.46
