,CANDIDATE,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
8977,C. NARAYANA REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.04
8978,K. SESHA REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.04
8979,G. RAGHUNAND REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.04
8980,K.C. KONDA REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.04
8981,YANGALA RAJAGOPAL REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.03
8982,MADAM BALA SUBBAIAH,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.03
8983,LEKKALA VENKATA RAMANA REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.02
8984,SEERLA NAGAIAH,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.02
8985,SUDDAMALLA NARASIMHA REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.02
8986,K. KATAMAIAH,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.02
8987,MULE SUBBI REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.02
8988,DONTHI REDDY CHINNA GANGI REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.02
8989,C. SUBBA REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.02
8990,NARAPUREDDY RAMAKRISHNUDU,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.01
8991,RUPANGUDI SEETHA RAMANA,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.01
8992,KALLUTLA RAMASUBBA REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.01
8993,N. JAGADEKA REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.01
8994,LAKKIREDDI SUDHAKAR REDDY,1991,ANDHRA PRADESH,CUDDAPAH,IND,0.01
8995,S. GANGADHARA,1991,ANDHRA PRADESH,HINDUPUR,INC,53.14
8996,K. RAMACHANDRA REDDY,1991,ANDHRA PRADESH,HINDUPUR,TDP,36.53
8997,SEELAM KRISHNA REDDY,1991,ANDHRA PRADESH,HINDUPUR,BJP,8.13
8998,C.V. CHALAPATHI,1991,ANDHRA PRADESH,HINDUPUR,IND,1.54
8999,PATNAM CHANDRA SEKHAR,1991,ANDHRA PRADESH,HINDUPUR,IND,0.23
9000,ADINARAYANA,1991,ANDHRA PRADESH,HINDUPUR,IND,0.17
9001,VENKATARAMANA THUTHUKA,1991,ANDHRA PRADESH,HINDUPUR,IND,0.14
9002,AMBATI SATISH KUMAR,1991,ANDHRA PRADESH,HINDUPUR,IND,0.07
9003,M. SANJEEVAPPA,1991,ANDHRA PRADESH,HINDUPUR,IND,0.06
9004,ANANTHA VENKATA REDDY,1991,ANDHRA PRADESH,ANANTAPUR,INC,59.14
9005,B.T.L.N. CHOWDARY,1991,ANDHRA PRADESH,ANANTAPUR,TDP,32.67
9006,VENKATASWAMY MUTHULURU,1991,ANDHRA PRADESH,ANANTAPUR,BJP,6.32
9007,GURUGU VENKATADASU,1991,ANDHRA PRADESH,ANANTAPUR,IND,0.6
9008,K. NARAYANASWAMY,1991,ANDHRA PRADESH,ANANTAPUR,JP,0.53
9009,MOTAPPA,1991,ANDHRA PRADESH,ANANTAPUR,IND,0.32
9010,ADAVULA NARAYANA,1991,ANDHRA PRADESH,ANANTAPUR,IND,0.16
9011,PUJARI NARAYANA,1991,ANDHRA PRADESH,ANANTAPUR,IND,0.14
9012,BAGALAKOTA RAME RAO,1991,ANDHRA PRADESH,ANANTAPUR,IND,0.13
9013,K. VIJAYA BHASKARA REDDY,1991,ANDHRA PRADESH,KURNOOL,INC,51.92
9014,S.V. SUBBA REDDY,1991,ANDHRA PRADESH,KURNOOL,TDP,42.91
9015,KURNOOL KAPILESWARAIAH,1991,ANDHRA PRADESH,KURNOOL,BJP,3.5
9016,ULLUGADDALA VEERANNA,1991,ANDHRA PRADESH,KURNOOL,IND,0.75
9017,M. ABDUL GAFOOR,1991,ANDHRA PRADESH,KURNOOL,IND,0.3
9018,A.V. SUBBA REDDY,1991,ANDHRA PRADESH,KURNOOL,IND,0.2
9019,T. SUDHAKAR,1991,ANDHRA PRADESH,KURNOOL,IND,0.16
9020,Y. GURUDASU,1991,ANDHRA PRADESH,KURNOOL,IND,0.1
9021,B.V. RAMI REDDY,1991,ANDHRA PRADESH,KURNOOL,IND,0.08
9022,J. AKTHARUZ ZAMA,1991,ANDHRA PRADESH,KURNOOL,IND,0.05
9023,JAYANTHI VENKATESWARLU,1991,ANDHRA PRADESH,KURNOOL,IND,0.04
9024,GANGULA PRATHAPA REDDY,1991,ANDHRA PRADESH,NANDYAL,INC,60.1
9025,CHALLA RAMA KRISHNA REDDY,1991,ANDHRA PRADESH,NANDYAL,TDP,30.37
9026,S.P.Y. REDDY,1991,ANDHRA PRADESH,NANDYAL,BJP,7.55
9027,NALLAGATLA NARASIMHULU,1991,ANDHRA PRADESH,NANDYAL,JP,0.51
9028,D. VUSEN BASHA,1991,ANDHRA PRADESH,NANDYAL,IND,0.44
9029,RAMALINGANNA,1991,ANDHRA PRADESH,NANDYAL,IND,0.3
9030,B. NAGA BHUSHANAM,1991,ANDHRA PRADESH,NANDYAL,IND,0.14
9031,RAMBHUPAL REDDY,1991,ANDHRA PRADESH,NANDYAL,IND,0.13
9032,K. PRABHAKARA RAO,1991,ANDHRA PRADESH,NANDYAL,IND,0.12
9033,MACHALA MADDULETI,1991,ANDHRA PRADESH,NANDYAL,IND,0.1
9034,B. ROOP SINGH,1991,ANDHRA PRADESH,NANDYAL,IND,0.1
9035,ALUVALA SATYANARAYANA,1991,ANDHRA PRADESH,NANDYAL,IND,0.08
9036,BALAIAH,1991,ANDHRA PRADESH,NANDYAL,IND,0.03
9037,B. SEKHAR,1991,ANDHRA PRADESH,NANDYAL,IND,0.03
9038,MALLU RAVI,1991,ANDHRA PRADESH,NAGARKURNOOL (SC),INC,44.74
9039,MAHENDRANATH P.,1991,ANDHRA PRADESH,NAGARKURNOOL (SC),TDP,36.06
9040,K. LAXMAN,1991,ANDHRA PRADESH,NAGARKURNOOL (SC),BJP,13.34
9041,CHINNA PEDDAIAH,1991,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,1.5
9042,B. BALARAJU,1991,ANDHRA PRADESH,NAGARKURNOOL (SC),BSP,1.41
9043,KASHANNA,1991,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,1.25
9044,MALA CHINNA CHENNAIAH,1991,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,0.62
9045,ALAMPALLY LAXMAIAH,1991,ANDHRA PRADESH,NAGARKURNOOL (SC),JP,0.62
9046,YERRA VEERABHADRAIAH,1991,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,0.3
9047,SAYAPPA,1991,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,0.17
9048,MALLIKARJUN,1991,ANDHRA PRADESH,MAHABUBNAGAR,INC,36.98
9049,DYAPA GOPAL REDDY,1991,ANDHRA PRADESH,MAHABUBNAGAR,TDP,31.5
9050,SUBBA REDDY,1991,ANDHRA PRADESH,MAHABUBNAGAR,BJP,21.13
9051,GULAM MODH. SAMDANI,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,2.32
9052,GOPIRAJU PRAKASH RAO,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,2.01
9053,KRISHNA REDDY,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,1.61
9054,PANDU,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,1.35
9055,MALLU MASI REDDY,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.64
9056,RAMCHANDRAIAH,1991,ANDHRA PRADESH,MAHABUBNAGAR,BSP,0.51
9057,LAXMAIAH,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.46
9058,SANJEEVA REDDY,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.41
9059,BOKKI MOGULAIAH,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.27
9060,KISHTAPPA,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.18
9061,BHEEMAIAH,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.18
9062,KESHAPPA,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.18
9063,SADASIVA REDDY,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.17
9064,MOHD. KAREEMUDDIN KHAN,1991,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.09
9065,SULTAN SALAHUDDIN OWAISI,1991,ANDHRA PRADESH,HYDERABAD,MIM,46.18
9066,BADDAM BAL REDDY,1991,ANDHRA PRADESH,HYDERABAD,BJP,42.17
9067,INDRA REDDY PATLOLA,1991,ANDHRA PRADESH,HYDERABAD,TDP,5.03
9068,M. SHIVASHANKAR,1991,ANDHRA PRADESH,HYDERABAD,INC,3.4
9069,MOHD. HAMEEDUL RAHMAN,1991,ANDHRA PRADESH,HYDERABAD,IND,0.9
9070,KHAJA HAKEEMUDDIN,1991,ANDHRA PRADESH,HYDERABAD,IND,0.53
9071,CHATUR SINGH SHASTRI,1991,ANDHRA PRADESH,HYDERABAD,IND,0.41
9072,MOHANA CHARY,1991,ANDHRA PRADESH,HYDERABAD,JP,0.2
9073,KESHAV RAO JADHAV,1991,ANDHRA PRADESH,HYDERABAD,IND,0.15
9074,ACHARY DAYA SHANKAR DWIVEDI,1991,ANDHRA PRADESH,HYDERABAD,IND,0.15
9075,GOLCONDA YADAIAH,1991,ANDHRA PRADESH,HYDERABAD,IND,0.12
9076,MOHD. AFZAL RASHEED,1991,ANDHRA PRADESH,HYDERABAD,IND,0.12
9077,R. CHANDRA KANTH,1991,ANDHRA PRADESH,HYDERABAD,IND,0.09
9078,PARSHURAM REDDY,1991,ANDHRA PRADESH,HYDERABAD,IND,0.08
9079,JAGADISH PRASAD MITTAL,1991,ANDHRA PRADESH,HYDERABAD,IND,0.08
9080,SARAT CHANDRA NARAHARI SETTY,1991,ANDHRA PRADESH,HYDERABAD,BSP,0.07
9081,S. JAGATH SINGH,1991,ANDHRA PRADESH,HYDERABAD,IND,0.06
9082,K. RAMULU,1991,ANDHRA PRADESH,HYDERABAD,IND,0.04
9083,BRIJ MOHAN VYAS,1991,ANDHRA PRADESH,HYDERABAD,IND,0.04
9084,N. GANGAMMA (W),1991,ANDHRA PRADESH,HYDERABAD,IND,0.03
9085,MANIKYAM,1991,ANDHRA PRADESH,HYDERABAD,IND,0.03
9086,D. MAHA VISHNU,1991,ANDHRA PRADESH,HYDERABAD,IND,0.03
9087,M. MANIK RAO,1991,ANDHRA PRADESH,HYDERABAD,IND,0.03
9088,JAI KISHAN,1991,ANDHRA PRADESH,HYDERABAD,IND,0.03
9089,S.M. RAMA KRISHNA GOUD,1991,ANDHRA PRADESH,HYDERABAD,IND,0.02
9090,RAMA KRISHNA REDDY,1991,ANDHRA PRADESH,HYDERABAD,IND,0.02
9091,BANDARU DATTATRAYA,1991,ANDHRA PRADESH,SECUNDERABAD,BJP,48.19
9092,T. MANEMMA ANJAIAH (W),1991,ANDHRA PRADESH,SECUNDERABAD,INC,32.05
9093,K. PRATAP REDDY,1991,ANDHRA PRADESH,SECUNDERABAD,JD,17.74
9094,G. SURYANARAYANA,1991,ANDHRA PRADESH,SECUNDERABAD,JP,0.32
9095,B. YADAIAH,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.24
9096,P. SUNDARAIAH,1991,ANDHRA PRADESH,SECUNDERABAD,BSP,0.13
9097,BOYINI NARSING RAO,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.13
9098,CHILUKALA GOPAL KRISHNA,1991,ANDHRA PRADESH,SECUNDERABAD,SRP,0.11
9099,K. RAMCHANDER,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.08
9100,PRASHANTH,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.07
9101,RAJESHWAR REDDY GURRAM,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.07
9102,BAKSHI RAM VIJAY WARGI,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.06
9103,KHAJA YOUSUFDDIN GHORY,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.06
9104,K.K. VISHWANATHAM,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.05
9105,JAGADISWAR,1991,ANDHRA PRADESH,SECUNDERABAD,JNP,0.05
9106,E.P.A. RASHEED,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.05
9107,P. ANJAIAH,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.04
9108,G.R. RAMCHANDER,1991,ANDHRA PRADESH,SECUNDERABAD,MSD,0.04
9109,S. NANAK SINGH SANDHU,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.04
9110,NARSIMHA YADAV,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.04
9111,N. SRI NIVAS,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
9112,SRIPATHI VENKATESWARA RAO,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
9113,BABULAL,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
9114,SURYA GUPTA S.,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
9115,KAMAL KISHORE SHARMA,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
9116,HANS KUMAR JAISWAL,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
9117,M. RANGAIAH GOUD,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
9118,RAVINDRA KARUNA RAO,1991,ANDHRA PRADESH,SECUNDERABAD,BDLP,0.03
9119,P.S. SIVA RAJU,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
9120,P. SURESH,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
9121,GPVERDHAN LAL,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
9122,KOTA SATYANARAYANA,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
9123,JAGADEESH PRASAD MITTAL,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
9124,M. RAMCHANDER RAO,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
9125,PANDIT RAJA RAM SHASTRI,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
9126,S. SUSAI DASS,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
9127,K. GANESH RAO,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
9128,ACHARYA DAYA DWIVEDI,1991,ANDHRA PRADESH,SECUNDERABAD,IND,0.01
9129,YELLAIAH NANDI,1991,ANDHRA PRADESH,SIDDIPET (SC),INC,48.6
9130,G. VIJAYA RAMA RAO,1991,ANDHRA PRADESH,SIDDIPET (SC),TDP,29.96
9131,BALARAM PULI,1991,ANDHRA PRADESH,SIDDIPET (SC),BJP,13.81
9132,BANDAMIDHI SAILU,1991,ANDHRA PRADESH,SIDDIPET (SC),IND,2.83
9133,AMBEDKAR G.R.,1991,ANDHRA PRADESH,SIDDIPET (SC),IND,2.17
9134,PREM CHAND,1991,ANDHRA PRADESH,SIDDIPET (SC),IND,0.77
9135,TALLA RAJAIAH,1991,ANDHRA PRADESH,SIDDIPET (SC),BSP,0.62
9136,MOLUGU PANDU,1991,ANDHRA PRADESH,SIDDIPET (SC),IND,0.32
9137,BODUPULA VENKANNA,1991,ANDHRA PRADESH,SIDDIPET (SC),IND,0.3
9138,C. BHANU (W),1991,ANDHRA PRADESH,SIDDIPET (SC),JP,0.24
9139,MISALA MALLAIAH,1991,ANDHRA PRADESH,SIDDIPET (SC),IND,0.17
9140,VISHNU SINGH RAWAT,1991,ANDHRA PRADESH,SIDDIPET (SC),IND,0.15
9141,SIRUGOJI BALAPOCHAIAH,1991,ANDHRA PRADESH,SIDDIPET (SC),IND,0.06
9142,N. BAGA REDDY,1991,ANDHRA PRADESH,MEDAK,INC,50.67
9143,D. RAMA KRISHNA,1991,ANDHRA PRADESH,MEDAK,TDP,28.04
9144,ALLANI KISHAN RAO,1991,ANDHRA PRADESH,MEDAK,BJP,15.79
9145,NALLA SURYAPRAKASH,1991,ANDHRA PRADESH,MEDAK,BSP,2.87
9146,GANTA BABU,1991,ANDHRA PRADESH,MEDAK,IND,0.71
9147,N. VITTALAIAH,1991,ANDHRA PRADESH,MEDAK,IND,0.59
9148,M.N. RAHMAN,1991,ANDHRA PRADESH,MEDAK,JP,0.43
9149,S. SRI NIVASA REDDY,1991,ANDHRA PRADESH,MEDAK,IND,0.37
9150,SOMA DEVAIAH,1991,ANDHRA PRADESH,MEDAK,IND,0.21
9151,GABBULA NAGENDER,1991,ANDHRA PRADESH,MEDAK,IND,0.19
9152,SUTHARI RADHA KRISHNA,1991,ANDHRA PRADESH,MEDAK,IND,0.13
9153,GADDAM GANGA REDDY,1991,ANDHRA PRADESH,NIZAMABAD,TDP,44.41
9154,T. ADURI BALA GOUD,1991,ANDHRA PRADESH,NIZAMABAD,INC,32.62
9155,LOKA BHUPATHI REDDY,1991,ANDHRA PRADESH,NIZAMABAD,BJP,18.6
9156,A. NARAYANA,1991,ANDHRA PRADESH,NIZAMABAD,BSP,0.92
9157,GANTA BABU,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.72
9158,M.A. RAOOF,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.48
9159,MASTA NARAYANA,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.42
9160,BABU NENAVATH,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.41
9161,LAXMAN,1991,ANDHRA PRADESH,NIZAMABAD,LKP,0.28
9162,BADYA NAIK,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.24
9163,M. SHIVA RAMA KRISHNA,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.23
9164,DASARI REDDA BALARAJU,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.15
9165,MADHU SUDAN VEMPATI,1991,ANDHRA PRADESH,NIZAMABAD,JP,0.12
9166,LINGALA GOVERDHAN GOUD (YELLA GOUD),1991,ANDHRA PRADESH,NIZAMABAD,IND,0.11
9167,S. PRAMILA (W),1991,ANDHRA PRADESH,NIZAMABAD,IND,0.09
9168,T. ASHOK,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.06
9169,V. BASWANTH,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.05
9170,BOI BASWAIAH,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.05
9171,SARSANI VENKAT RAMI REDDY,1991,ANDHRA PRADESH,NIZAMABAD,IND,0.02
9172,ALLOLA INDRAKARAN REDDY,1991,ANDHRA PRADESH,ADILABAD,TDP,40.96
9173,P. NARASA REDDY,1991,ANDHRA PRADESH,ADILABAD,INC,33.12
9174,THUMALA NARAYANA REDDY,1991,ANDHRA PRADESH,ADILABAD,BJP,20.94
9175,DURGAM SHYAM RAO,1991,ANDHRA PRADESH,ADILABAD,IND,1.88
9176,BAIRIMALA MOGILAIAH,1991,ANDHRA PRADESH,ADILABAD,IND,1.44
9177,PANNA LAL,1991,ANDHRA PRADESH,ADILABAD,IND,0.78
9178,GOGARLA RAMCHANDER,1991,ANDHRA PRADESH,ADILABAD,IND,0.63
9179,PAMULA BHEEMAIAH,1991,ANDHRA PRADESH,ADILABAD,IND,0.13
9180,MOHD. SHAFIUDDIN,1991,ANDHRA PRADESH,ADILABAD,IND,0.11
9181,G. VENKAT SWAMY,1991,ANDHRA PRADESH,PEDDAPALLI (SC),INC,49.92
9182,SUDDALA DEVAIAH,1991,ANDHRA PRADESH,PEDDAPALLI (SC),TDP,28.05
9183,CHINTHA SAMBA MURTHY,1991,ANDHRA PRADESH,PEDDAPALLI (SC),BJP,10.49
9184,BOJJA BIXAMAIAH,1991,ANDHRA PRADESH,PEDDAPALLI (SC),IND,2.44
9185,MANDAMYSAIAH,1991,ANDHRA PRADESH,PEDDAPALLI (SC),IND,2.02
9186,GANTA SRIHARI,1991,ANDHRA PRADESH,PEDDAPALLI (SC),JP,1.49
9187,GUMMADIRAJALINGU,1991,ANDHRA PRADESH,PEDDAPALLI (SC),IND,1.01
9188,KANDI RAJNARSAKKA (W),1991,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.89
9189,GADELA VINAYA KUMAR,1991,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.84
9190,SHAGANTI SANJEEVAIAH,1991,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.73
9191,PERKA LINGAIAH,1991,ANDHRA PRADESH,PEDDAPALLI (SC),BSP,0.53
9192,MATURI DURGAIAH,1991,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.52
9193,DHARMAPURI RAMAIAH,1991,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.48
9194,KYATHAM VISHNUVADAN,1991,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.47
9195,BONKURI ARJUN,1991,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.11
9196,CHOKKA RAO JUVVADI,1991,ANDHRA PRADESH,KARIMNAGAR,INC,43.42
9197,KRISHNAIAH N.V.,1991,ANDHRA PRADESH,KARIMNAGAR,IND,20.63
9198,EDAVALLI JAGGA REDDY,1991,ANDHRA PRADESH,KARIMNAGAR,BJP,19.39
9199,G. MOHANA RAO,1991,ANDHRA PRADESH,KARIMNAGAR,JD,8.8
9200,GURRAM RAJESWAR REDDY,1991,ANDHRA PRADESH,KARIMNAGAR,IND,1.89
9201,CHALLURU RAMESH SAGAR,1991,ANDHRA PRADESH,KARIMNAGAR,JP,1.38
9202,KANDULA MALLESHAM,1991,ANDHRA PRADESH,KARIMNAGAR,IND,1.13
9203,RAGULA HANMANDLU,1991,ANDHRA PRADESH,KARIMNAGAR,IND,0.6
9204,ASAD KHAN,1991,ANDHRA PRADESH,KARIMNAGAR,BSP,0.59
9205,M. GOPAL,1991,ANDHRA PRADESH,KARIMNAGAR,IND,0.55
9206,RAMAPALLI KISTAYYA,1991,ANDHRA PRADESH,KARIMNAGAR,IND,0.48
9207,V. SRIHARI,1991,ANDHRA PRADESH,KARIMNAGAR,IND,0.3
9208,K. NAGESH,1991,ANDHRA PRADESH,KARIMNAGAR,IND,0.26
9209,MAMINDLA CHINNA BHODMAIAH,1991,ANDHRA PRADESH,KARIMNAGAR,LKP,0.24
9210,B. RAJESHAM,1991,ANDHRA PRADESH,KARIMNAGAR,IND,0.21
9211,SAGI RAJGOPAL RAO,1991,ANDHRA PRADESH,KARIMNAGAR,IND,0.13
9212,KAMALUDDIN AHMED,1991,ANDHRA PRADESH,HANAMKONDA,INC,49.28
9213,VANGA SUNDERSHAN REDDY,1991,ANDHRA PRADESH,HANAMKONDA,TDP,32.41
9214,JANGA REDDY CHANDUPATLA,1991,ANDHRA PRADESH,HANAMKONDA,BJP,10.31
9215,KALEEMUDDIN,1991,ANDHRA PRADESH,HANAMKONDA,IND,3.14
9216,AGAIAH POGULA,1991,ANDHRA PRADESH,HANAMKONDA,MCPI,2.14
9217,BOOMAIAH MADISETTY,1991,ANDHRA PRADESH,HANAMKONDA,IND,0.8
9218,PINGLLI DHARMA REDDY,1991,ANDHRA PRADESH,HANAMKONDA,JP,0.45
9219,ALAKUNTLA YELLAIAH,1991,ANDHRA PRADESH,HANAMKONDA,IND,0.42
9220,B. RAMALINGAM,1991,ANDHRA PRADESH,HANAMKONDA,IND,0.39
9221,JOGU KISTAIAH,1991,ANDHRA PRADESH,HANAMKONDA,BSP,0.35
9222,SATHYA VRAT,1991,ANDHRA PRADESH,HANAMKONDA,IND,0.31
9223,SURENDRA REDDY RAMA SAHAYAM,1991,ANDHRA PRADESH,WARANGAL,INC,44.92
9224,NEMARUGOMMULA YETHIRAJA RAO,1991,ANDHRA PRADESH,WARANGAL,TDP,35.91
9225,KOLA JANARDHAN,1991,ANDHRA PRADESH,WARANGAL,BJP,5.61
9226,RAJANNA SOMA,1991,ANDHRA PRADESH,WARANGAL,MCPI,5.36
9227,BUGA SREERAMULU,1991,ANDHRA PRADESH,WARANGAL,IND,4.26
9228,RAMANNA GOUD,1991,ANDHRA PRADESH,WARANGAL,IND,1.63
9229,DARAM MADAN MOHAN,1991,ANDHRA PRADESH,WARANGAL,IND,0.96
9230,AZEEZ ABDUL,1991,ANDHRA PRADESH,WARANGAL,BSP,0.56
9231,BHUPAL GOUD,1991,ANDHRA PRADESH,WARANGAL,JP,0.38
9232,SREEPATHI KOMARAIAH,1991,ANDHRA PRADESH,WARANGAL,IND,0.27
9233,MALOTHU NANYA,1991,ANDHRA PRADESH,WARANGAL,IND,0.09
9234,MOHD. ABDUL ALEEM,1991,ANDHRA PRADESH,WARANGAL,IND,0.04
9235,RANGAYYA NAYUDU P.V.,1991,ANDHRA PRADESH,KHAMMAM,INC,44.2
9236,TAMMINENI VEERABHADRAM,1991,ANDHRA PRADESH,KHAMMAM,CPM,43.37
9237,GADDAM VENKATRAMAYYA,1991,ANDHRA PRADESH,KHAMMAM,IND,6.43
9238,ALI KHADAR SAYYAD,1991,ANDHRA PRADESH,KHAMMAM,BJP,1.8
9239,KHAJA KHAN MOHMAD,1991,ANDHRA PRADESH,KHAMMAM,IND,0.56
9240,KILARI MANMADHA RAO,1991,ANDHRA PRADESH,KHAMMAM,IND,0.55
9241,HARINADHA RAO BODDU,1991,ANDHRA PRADESH,KHAMMAM,IND,0.48
9242,NAGISETTI RAM RAO,1991,ANDHRA PRADESH,KHAMMAM,IND,0.37
9243,ARVAPALLI VIDYA SAGAR,1991,ANDHRA PRADESH,KHAMMAM,JP,0.36
9244,GANDURI LALAIAH,1991,ANDHRA PRADESH,KHAMMAM,IND,0.36
9245,PADIGA YERRAIAH,1991,ANDHRA PRADESH,KHAMMAM,IND,0.3
9246,CHIRRA VENKATESWARLU,1991,ANDHRA PRADESH,KHAMMAM,IND,0.29
9247,BANOTH SEETAYYA,1991,ANDHRA PRADESH,KHAMMAM,IND,0.26
9248,AVULA RAMA RAO,1991,ANDHRA PRADESH,KHAMMAM,IND,0.21
9249,SURYANARAYANA JAMGETI,1991,ANDHRA PRADESH,KHAMMAM,BSP,0.17
9250,PRABHAKAR REDDY,1991,ANDHRA PRADESH,KHAMMAM,IND,0.13
9251,VENKATESWARLU YEDAVALLI,1991,ANDHRA PRADESH,KHAMMAM,IND,0.09
9252,TULASI RAMULU NATESAN,1991,ANDHRA PRADESH,KHAMMAM,IND,0.08
9253,BOMMAGANI DHARMA BIKSHAM,1991,ANDHRA PRADESH,NALGONDA,CPI,42.3
9254,CHAKILAM SRINIVASA RAO,1991,ANDHRA PRADESH,NALGONDA,INC,32.05
9255,INDRASENA REDDY NELLU,1991,ANDHRA PRADESH,NALGONDA,BJP,22.84
9256,YADAGIRI REDDY TUMMALAPALLY,1991,ANDHRA PRADESH,NALGONDA,IND,0.53
9257,TOTAKURI VEERAIAH,1991,ANDHRA PRADESH,NALGONDA,BSP,0.52
9258,ANJAIAH MITTAPALLY,1991,ANDHRA PRADESH,NALGONDA,IND,0.5
9259,N. VENKATESHAM GOUD,1991,ANDHRA PRADESH,NALGONDA,JP,0.38
9260,AVULA KRISHNA REDDY,1991,ANDHRA PRADESH,NALGONDA,IND,0.26
9261,MOHD. SHAHROSE KHAN,1991,ANDHRA PRADESH,NALGONDA,IND,0.26
9262,SANGU MALLAIAH,1991,ANDHRA PRADESH,NALGONDA,LKD,0.23
9263,NAKKA ANJANEYULU,1991,ANDHRA PRADESH,NALGONDA,IND,0.12
9264,BHEEMIREDDY NARSIMHA REDDY,1991,ANDHRA PRADESH,MIRYALGUDA,CPM,43.52
9265,B.N. REDDY,1991,ANDHRA PRADESH,MIRYALGUDA,INC,42.36
